,0,1,2
ownership,0.0,0.000478,0.0
pace,0.0,0.000478,0.0
painted,0.0,0.0,0.000475
palace,0.0,0.0,0.00095
pandemic,0.0,0.002868,0.0
paper,0.000473,0.0,0.0
paradox,0.000473,0.0,0.0
park,0.0,0.0,0.000475
participant,0.000947,0.0,0.0
passage,0.0,0.0,0.000475
passed,0.0,0.0,0.000475
passing,0.0,0.0,0.00095
passion,0.0,0.0,0.000475
passionate,0.0,0.000478,0.0
past,0.0,0.0,0.00095
path,0.0,0.0,0.001425
pattern,0.000473,0.0,0.0
pay,0.0,0.001434,0.0
peak,0.0,0.0,0.000475
people,0.005208,0.002868,0.0
pepperdine,0.0,0.000478,0.0
perfect,0.0,0.0,0.000475
perfectly,0.0,0.0,0.000475
perform,0.0,0.000478,0.0
perimeter,0.0,0.0,0.000475
period,0.000473,0.000478,0.0
perk,0.000473,0.0,0.0
perseverance,0.0,0.0,0.00095
person,0.0,0.000956,0.0
perspective,0.000473,0.0,0.0
peter,0.0,0.000478,0.0
phase,0.000947,0.0,0.0
phone,0.0,0.000478,0.0
phrase,0.0,0.0,0.000475
pick,0.0,0.000478,0.0
picture,0.000473,0.0,0.0
piled,0.0,0.0,0.000475
pilgrimage,0.0,0.0,0.00095
pioneer,0.0,0.0,0.000475
pivoting,0.0,0.000478,0.0
pizza,0.0,0.000478,0.0
place,0.0,0.0,0.002375
plan,0.0,0.001434,0.0
planck,0.000473,0.0,0.0
planet,0.0,0.0,0.00095
planning,0.0,0.000478,0.0
plateau,0.0,0.0,0.000475
platform,0.000473,0.000478,0.0
played,0.000473,0.0,0.0
playing,0.0,0.0,0.000475
point,0.000947,0.000956,0.00095
poor,0.0,0.000478,0.0
pope,0.0,0.0,0.000475
popping,0.0,0.000478,0.0
population,0.000947,0.0,0.0
posed,0.0,0.0,0.000475
position,0.0,0.000478,0.0
positive,0.0,0.000478,0.0
possible,0.000947,0.0,0.000475
potentially,0.0,0.000478,0.0
power,0.0,0.000956,0.0
predation,0.000947,0.0,0.0
predator,0.001894,0.0,0.0
predictive,0.000473,0.0,0.0
presence,0.0,0.0,0.000475
pressure,0.0,0.001912,0.0
pressured,0.0,0.000956,0.0
prevalence,0.000473,0.0,0.0
prevent,0.0,0.000478,0.0
price,0.0,0.000956,0.0
primate,0.005682,0.0,0.0
prisoner,0.0,0.0,0.000475
probably,0.000473,0.0,0.0
problem,0.000947,0.001434,0.0
problematise,0.000473,0.0,0.0
procedure,0.000473,0.0,0.0
productive,0.000473,0.0,0.0
professional,0.0,0.001912,0.0
professor,0.0,0.000478,0.0
project,0.0,0.000478,0.000475
promoted,0.0,0.000478,0.0
proportion,0.000473,0.0,0.0
protection,0.000473,0.0,0.0
protective,0.0,0.0,0.000475
provide,0.000473,0.0,0.0
provincial,0.0,0.0,0.000475
proxy,0.000473,0.0,0.0
psychology,0.0,0.000478,0.0
psychotherapist,0.0,0.000478,0.0
pulled,0.0,0.0,0.000475
punishment,0.0,0.0,0.000475
pursuing,0.0,0.000478,0.0
pursuit,0.0,0.000478,0.0
pushing,0.0,0.000478,0.0
putting,0.0,0.000956,0.0
queen,0.000473,0.0,0.0
question,0.000473,0.0,0.0
quickly,0.0,0.0,0.000475
quiet,0.0,0.0,0.00095
quite,0.000473,0.0,0.0
rallying,0.0,0.0,0.000475
ramification,0.0,0.000478,0.0
range,0.0,0.0,0.000475
rapid,0.000473,0.0,0.0
rate,0.0,0.001434,0.0
rattenborg,0.00142,0.0,0.0
read,0.000473,0.0,0.0
realise,0.000473,0.0,0.0
realised,0.0,0.000478,0.0
really,0.00142,0.0,0.0
reason,0.000947,0.0,0.0
reasonable,0.0,0.000478,0.0
recall,0.0,0.000956,0.0
receded,0.0,0.0,0.000475
received,0.0,0.000478,0.0
receives,0.0,0.000478,0.0
recently,0.0,0.000478,0.0
recognised,0.0,0.000478,0.0
record,0.000473,0.0,0.0
recorded,0.000473,0.0,0.0
